Status,Type,Notes,,"Target 
Deploy 
Date

(Double Click Cell)",,Commit CL,,"Pre-Commit Swarm Link

(See This Cell's Notes If Red)","Client Platforms 
/ 
Server Fleets Affected",JIRA,"#fn-integration-requests-ext

Link","Comms Link
(SH / Other Thread)","Multi Product Impact?

(See This Cells Notes)","Code or
Content?","Safe as Code Only? 
(hover over cell for details)",Client/Server Compatibility Concerns?,Staggered Platform Rollout?,Does This Require A Profile Migration?,Includes Export JSON File?,Gameplay Tags Added/Removed?,"Embedded QA Verification Prior to Commit?

(Link Thread)",Link to QA Testing / Sign Off,Link to Horde Pre Flight,"Risk Mitigation Form Completed & RM Reviewed?

(Link Thread)",AllowLister Approved?,TD Approved?,JIRA / Swarm Summary,REAL-XX Descrp
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rejected,Client,This is a client and server change,,,,Maybe a 36.10 fix now?,,43186732,All,FORT-917574,IR Link,#sh-06-03-server-and-potential-client-crash-from-d-ext,TBD,Code,TBD,TBD,TBD,N/A,N/A,TBD,TBD,QA LINK,PF LINK,,Approved,,Mark dynamic delegates as UPROPERTY to keep the listener's memory alive,FORT-917574 - #sh-06-03-server-and-potential-client-crash-from-d-ext - Mark dynamic delegates as UPROPERTY to keep the listener's memory alive - Maybe a 36.10 fix now?
Rejected,Client,"Issue has been solved via Hotfixed in 36.00 Prod Build.
We will review the issue further during the week for a 36.10-20 client fix.
At this point we will not pursue the 36.00 EP fix",,,,TBD,,43313637,All,"FORT-918375
FORT-912178",IR Link,#sh-06-06-equipping-kicks-and-navigating-to-a-diff-ext,Yes,Code,Yes,No,Yes,N/A,N/A,No,In Progress,QA LINK,PF LINK,,Approved,Approved,[crashfix] Check weakptr validity before dereferencing,"FORT-918375
FORT-912178 - #sh-06-06-equipping-kicks-and-navigating-to-a-diff-ext - [crashfix] Check weakptr validity before dereferencing - TBD"
Deployed,Client,REAL-5379,,"UEFN Only, Hope is to get out ASAP instead of waiting for all client deploy",,43335957,,43335758,UEFN + Content Workers,UE-295113,IR Link,#sh-06-07-assets-digest-errors-block-launch-in-36-ext,Yes,Code,Yes,No,Yes,,,No,No,,,,,,,
Deployed,Client,REAL-5379,,"UEFN Only, Hope is to get out ASAP instead of waiting for all client deploy",,43335970,,43335853,UEFN Only,FORT-920635,IR Link,#sh-06-07-assets-digest-errors-block-launch-in-36-ext,Yes,Code,Yes,No,Yes,,,No,No,,,,,,,
Deployed,Client,REAL-5379,,,,43336056,,43276150,All,FORT-919870,IR Link,sh-06-05-cabined-accounts-can-subscribe-to-fn-cre-ext,No,Content,No,No,Yes,N/A,N/A,,Verified Fixed,QA LINK,PF LINK,,Approved,Approved,[Crew] Don't allow cabined account to purchase crew,FORT-919870 - sh-06-05-cabined-accounts-can-subscribe-to-fn-cre-ext - [Crew] Don't allow cabined account to purchase crew - 43336056
Deployed,Client,REAL-5379,,,,43336057,,43320562,All,FORT-920089,IR Link,#sh-06-06-navigation-issue-on-playtime-modal-ext,No,Both,No,No,Yes,N/A,N/A,No,Verified Fixed,QA LINK,PF LINK,,Approved,Approved,Fix for playtime controls input issues.,FORT-920089 - #sh-06-06-navigation-issue-on-playtime-modal-ext - Fix for playtime controls input issues. - 43336057
Deployed,Client,"This is a client and server change

Client REAL-5379",,Ride along with next available client slot - change was already submitted to 36.10,,43336054,,43239890,All,FORT-916905,IR Link,#sh-06-06-fmcpcacher-version-after-profile-delta-e-ext,Yes,Code,Yes,No,Yes,N/A,N/A,No,Verified Fixed,QA LINK,PF LINK,,Approved,Approved,"* Use profile revision rather than command revision for the mcp cache version
* Disable MCPCachers (includes CVar to enable)","FORT-916905 - #sh-06-06-fmcpcacher-version-after-profile-delta-e-ext - * Use profile revision rather than command revision for the mcp cache version
* Disable MCPCachers (includes CVar to enable) - 43336054"
Deployed,Client,REAL-5379,,Wed Jun 11,,43336063,,43208066,Android/iOS/Streaming(Xbox/PC),FORT-917789,IR Link,#sh-06-03-bp-rewards-price-obscured-on-mobile-ext,No,Content,No,No,Yes,N/A,N/A,No,Verified Fixed,QA LINK,PF LINK,,Approved,Approved,Fixing an overlap for vbucks when buying the rewards for the battlepass,FORT-917789 - #sh-06-03-bp-rewards-price-obscured-on-mobile-ext - Fixing an overlap for vbucks when buying the rewards for the battlepass - 43336063
Deployed,Client,REAL-5379,,Wed Jun 11,,43336068,,43171350,Android,FORT-914201,IR Link,#sh-06-04-client-crash-in-android-database-sqlite-ext,Yes,Code,Yes,No,Yes,N/A,N/A,No,Verified Fixed,QA LINK,PF LINK,,Approved,Approved,Add watch for deletion complete before database close in Fetch2,FORT-914201 - #sh-06-04-client-crash-in-android-database-sqlite-ext - Add watch for deletion complete before database close in Fetch2 - 43336068
