,Fortnite - Stability - Grafana,,,,wiki for adding data,,,,,,
DO NOT EDIT THESE FIELDS,Previous Release compared to Current Release,,,,,,,,,,
,Stability - MTBF (hours),,,,,,PC Only (MTBF By Game Mode),,,,
,Platform,New Release,Last Release,Delta,Notes,,Mode,Launch,Previous,Delta,Notes
,PC,29.50,43.70,-14.20,#sh-06-07-36-00-pc-mtbf-is-extremely-low-ext,,Front End,3.96,5.65,-1.69,frontend
,GFN,11.10,38.00,-26.90,,,BR,31.3,38.1,-6.80,athena
,LUNA,165.00,150.00,15.00,,,Creative,16,46.7,-30.70,playspace
,UEFN,15.00,17.00,-2.00,,,Juno,31.8,46.4,-14.60,juno
,PS4,97.40,197.00,-99.60,#sh-06-07-36-00-pc-mtbf-is-extremely-low-ext,,Sprout,28.1,35.1,-7.00,sprout
,PS5,94.20,316.00,-221.80,#sh-06-07-36-00-pc-mtbf-is-extremely-low-ext,,DelMar,No data,88.9,#VALUE!,delmar
,XB1,90.00,89.00,1.00,#sh-06-07-36-00-pc-mtbf-is-extremely-low-ext,,Festival,94.9,66.5,28.40,sparkplayspace
,XSS/X,245.00,271.00,-26.00,#sh-06-07-36-00-pc-mtbf-is-extremely-low-ext,,STW,73.1,69.6,3.50,pve
,Android,21.29,23.04,-1.75,,,Papaya,21,57.5,-36.50,papaya
,iOS,18.30,19.60,-1.30,,,,,,,
,Switch,"1,657.00",59.50,"1,597.50",Data outage issue,,,,,,
,Switch2,11.00,19.40,-8.40,Data outage issue,,,,,,
,,,,,,,,,,,
,Server,New Release,Last Release,Delta,Notes,,,,,,
,BRCORE,"20,200.00","43,200","-23,000.00",,,,,,,
,BRCORE Ranked,"3,480.00",439,"3,041.00",,,,,,,
,Reload (Sunflower),"6,110.00","14,500","-8,390.00",,,,,,,
,OG (Figment),"5,690.00","5,890",-200.00,,,,,,,
,Ballistic (Feral),No data,No data,#VALUE!,No crashes in last 12 hours (as of 6/14 3pm et),,,,,,
,CMCORE,"1,180.00","3,170","-1,990.00",#sh-06-07-vk-play-servers-crashing-and-burning-ext,,,,,,
,Creative-Play,"1,250.00","2,460","-1,210.00",#sh-06-07-vk-play-servers-crashing-and-burning-ext,,,,,,
,Juno,702.00,"2,070","-1,368.00",#sh-06-07-36-00-juno-mtbf-regression-ext,,,,,,
,Sprout,362.00,174,188.00,No crashes in last 12 hours (as of 6/8 9am et),,,,,,
,DelMar,"1,160.00",No data,#VALUE!,No crashes in last 12 hours (as of 6/8 9am et),,,,,,
,STW,"1,790.00",375,"1,415.00",,,,,,,
,LVKEDIT,41.10,99,-57.60,#sh-06-07-vk-play-servers-crashing-and-burning-ext,,,,,,
,LVKPLAY,"3,064.00","5,574","-2,510.00",Valkyrie Play All,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Launch Day 1,,,,,,Launch Day 1 + 12 hours,,,,
,Stability - MTBF (hours),,,,,,Stability - MTBF (hours),,,,
,Platform,Launch,Previous,Delta,Notes,,Platform,Current,Launch,Delta,Notes
,PC,6.46,43.70,-37.24,#sh-06-07-36-00-pc-mtbf-is-extremely-low-ext,,PC,9.37,6.46,2.91,
,GFN,6.52,38.00,-31.48,,,GFN,8.10,6.52,1.58,
,LUNA,29.00,150.00,-121.00,,,LUNA,42.00,29.00,13.00,
,UEFN,9.00,17.00,-8.00,,,UEFN,12.00,9.00,3.00,
