,Fortnite - Stability - Grafana,,,,wiki for adding data,,,,,,
DO NOT EDIT THESE FIELDS,Previous Release compared to Current Release,,,,,,,,,,
,Stability - MTBF (hours),,,,,,PC Only (MTBF By Game Mode),,,,
,Platform,New Release,Last Release,Delta,Notes,,Mode,Launch,Previous,Delta,Notes
,PC,,,0.00,,,Front End,,,0.00,frontend
,GFN,,,0.00,,,BR,,,0.00,athena
,LUNA,,,0.00,,,Creative,,,0.00,playspace
,UEFN,,,0.00,,,Juno,,,0.00,juno
,PS4,,,0.00,,,Sprout,,,0.00,sprout
,PS5,,,0.00,,,DelMar,,,0.00,delmar
,XB1,,,0.00,,,Festival,,,0.00,sparksplayspace
,XSS/X,,,0.00,,,STW,,,0.00,pve
,Android,,,0.00,,,Papaya,,,0.00,papaya
,iOS,,,0.00,,,,,,,
,Switch,,,0.00,,,,,,,
,Switch2,,,0.00,,,,,,,
,,,,,,,,,,,
,Server,New Release,Last Release,Delta,Notes,,,,,,
,BRCORE,,,0.00,,,,,,,
,BRCORE Ranked,,,0.00,,,,,,,
,Reload (Sunflower),,,0.00,,,,,,,
,OG (Figment),,,0.00,,,,,,,
,Ballistic (Feral),,,0.00,,,,,,,
,CMCORE,,,0.00,,,,,,,
,Creative-Play,,,0.00,,,,,,,
,Juno,,,0.00,,,,,,,
,Sprout,,,0.00,,,,,,,
,DelMar,,,0.00,,,,,,,
,STW,,,0.00,,,,,,,
,LVKEDIT,,,0.00,,,,,,,
,LVKPLAY,,,0.00,Valkyrie Play All,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Launch Day 1,,,,,,Launch Day 1 + 12 hours,,,,
,Stability - MTBF (hours),,,,,,Stability - MTBF (hours),,,,
,Platform,Launch,Previous,Delta,Notes,,Platform,Current,Launch,Delta,Notes
,PC,,,0.00,,,PC,,,0.00,
,GFN,,,0.00,,,GFN,,,0.00,
,LUNA,,,0.00,,,LUNA,,,0.00,
,UEFN,,,0.00,,,UEFN,,,0.00,
,PS4,,,0.00,,,PS4,,,0.00,
,PS5,,,0.00,,,PS5,,,0.00,
,XB1,,,0.00,,,XB1,,,0.00,
,XSS/X,,,0.00,,,XSS/X,,,0.00,
,Android,,,0.00,,,Android,,,0.00,
,iOS,,,0.00,,,iOS,,,0.00,
,Switch,,,0.00,,,Switch,,,0.00,
,Switch2,,,0.00,,,Switch2,,,0.00,
,Server,Launch,Previous,Delta,Notes,,Server,Current,Launch,Delta,Notes
,BRCORE,,,0.00,,,BRCORE,,,0.00,
,BRCORE Ranked,,,0.00,,,BRCORE Ranked,,,0.00,
,Reload (Sunflower),,,0.00,,,Reload (Sunflower),,,0.00,
,OG (Figment),,,0.00,,,OG (Figment),,,0.00,
,Ballistic (Feral),,,0.00,,,Ballistic (Feral),,,0.00,
,Creative-Edit,,,0.00,,,Creative-Edit,,,0.00,
,Creative-Play,,,0.00,,,Creative-Play,,,0.00,
,Juno,,,0.00,,,Juno,,,0.00,
,Sprout,,,0.00,,,Sprout,,,0.00,
,DelMar,,,0.00,,,DelMar,,,0.00,
,STW,,,0.00,,,STW,,,0.00,
,LVKEDIT,,,0.00,,,LVKEDIT,,,0.00,
,LVKPLAY,,,0.00,Valkyrie Play All,,LVKPLAY,,,0.00,
,,,,,,,,,,,
,,,,,,,,,,,
,Launch Day 2,,,,,,Launch Day 2 + 12 hours,,,,
,Stability - MTBF (hours),,,,,,Stability - MTBF (hours),,,,
,Platform,Current,Launch,Delta,Notes,,Platform,Current,Launch,Delta,Notes
,PC,,,0.00,,,PC,,,0.00,
,GFN,,,0.00,,,GFN,,,0.00,
,LUNA,,,0.00,,,LUNA,,,0.00,
,UEFN,,,0.00,,,UEFN,,,0.00,
,PS4,,,0.00,,,PS4,,,0.00,
,PS5,,,0.00,,,PS5,,,0.00,
,XB1,,,0.00,,,XB1,,,0.00,
,XSS/X,,,0.00,,,XSS/X,,,0.00,
,Android,,,0.00,,,Android,,,0.00,
,iOS,,,0.00,,,iOS,,,0.00,
,Switch,,,0.00,,,Switch,,,0.00,
,Switch2,,,0.00,,,Switch2,,,0.00,
,Server,Current,Launch,Delta,Notes,,Server,Current,Launch,Delta,Notes
,BRCORE,,,0.00,,,BRCORE,,,0.00,
,BRCORE Ranked,,,0.00,,,BRCORE Ranked,,,0.00,
,Reload (Sunflower),,,0.00,,,Reload (Sunflower),,,0.00,
,OG (Figment),,,0.00,,,OG (Figment),,,0.00,
,Ballistic (Feral),,,0.00,,,Ballistic (Feral),,,0.00,
,Creative-Edit,,,0.00,,,Creative-Edit,,,0.00,
,Creative-Play,,,0.00,,,Creative-Play,,,0.00,
,Juno,,,0.00,,,Juno,,,0.00,
,Sprout,,,0.00,,,Sprout,,,0.00,
,DelMar,,,0.00,,,DelMar,,,0.00,
,STW,,,0.00,,,STW,,,0.00,
,LVKEDIT,,,0.00,,,LVKEDIT,,,0.00,
,LVKPLAY,,,0.00,,,LVKPLAY,,,0.00,
