,Item,Status,Due by,Completed by,Temp-Notes,Steps To Complete,"Suggested Slack Post Text 
(unless otherwise stated)","Suggested Slack Thread Text 
(unless otherwise stated)",Automation?,Additional Notes
,Pre-Candidate Build - MUST DO	,,,,,77,,,,
,By Hard Lock:	,IN PROGRESS,,,,,,,,
,,,,,,,,,,
,By Pencils Down:	,IN PROGRESS,,,,,,,,
OPS,All Remaining Build Errors/Warnings Have Been Approved To Ship With,TODO,Fri Jul 18,,"Tracking Sheet Here

Last Update: 
- MONTH_DAY","1.Go to the Tracking Sheet and dupe the template and rename to this checklists version
2. Go to the Builds tab of the Horde Branch for the checklist's version
2. Go to latest completed Nightly and SSB builds.
3. Go through any Red/Yellow badges in the Clients, Servers, UEFN columns and enter information into the tracker sheet.
   a. You can ignore the Test Content Worker Docker Image Win64/Linux badges in the UEFN section
4. Go through any Red/Yellow badges in the Nightly Data Rebuild & World Partition Build builds and enter information into the tracker sheet.
5. Once you have entered all Errors/Warnings into the tracker sheet, spin up build health threads (as normal for BH) in the #fn-build-health-ext channel and escalate to the appropriate people for sign off - template in 1st tab of sheet
   a. Ensure all issues have a JIRA for tracking so these can be addressed at some point
6. Spin up a general World Partition Build thread and tag Sébastien Lussier for review (example here)",,,,
OPS,Verify Android version number has been updated in perforce,TODO,Fri Jul 18,,Commit CL: 12345,"1. Open P4 and navigate to the below file
//Fortnite/Release-CHECKLIST_VERSION/FortniteGame/Config/DefaultEngine.ini
2. Search file for the string: 
VersionDisplayName
   a. Should live under the [/Script/AndroidRuntimeSettings.AndroidRuntimeSettings] header
3. Verify this is set to CHECKLIST_VERSION.0",,,,
OPS,Verify iOS version number has been updated in perforce,TODO,Fri Jul 18,,Commit CL: 12345,"1. Open P4 and navigate to the below file
//Fortnite/Release-CHECKLIST_VERSION/FortniteGame/Config/IOS/IOSEngine.ini
2. Search file for the string: 
VersionInfo
   a. Should live under the [/Script/IOSRuntimeSettings.IOSRuntimeSettings] header
3. Verify this is set to CHECKLIST_VERSION (should not have a .0)",,,,
OPS,Verify Version Locking AND that the Net Version locked to is different than the currently live branch,TODO,Fri Jul 18,,"PREVIOUS_VERSION: 12345
CHECKLIST_VERSION: 12345

Reviewed by: PERSON","1. Open P4 and navigate to the below file path
//Fortnite/release-PREVIOUS_VERSION/Engine/Source/Runtime/Core/Public/Misc/NetworkVersion.h
2. Search file for the string: 
ENGINE_NET_VERSION
3. Note the listed CL in Column F
4. Repeat steps 1-3 using the below file path
   //Fortnite/release-CHECKLIST_VERSION/Engine/Source/Runtime/Core/Public/Misc/NetworkVersion.h
   a. If the ENGINE_NET_VERSION is not set to 0, verify the set CL is higher than the previous release's CL
   b. If the ENGINE_NET_VERSION is set to 0, set it to a CL that is higher than the previous release's CL
      i. Can use the last successful Nightly Build CL & make sure to deadend your commit using the suggested text in Column H
5. Once submitted, have someone else on the team review your commit.","Setting NetCL after CHECKLIST_VERSION Hardlock
#jira none
#okforgithub public
#rnx
#robomerge -NEXT_VERSION
#submittool bypass",,,
,By Cert Submission:	,IN PROGRESS,,,,,,,,
OPS,Get Folder Comparison sign off from Anticheat for PC and UEFN,TODO,Sat Jul 19,,"Keep In Progress until final build, but track latest approval","1. Check email for Folder Comparison
2. Find the email associated with the latest approved PC candidate 
     (ex. ++Fortnite+Release-26.30-CL-28509302)
3. Ensure there are links to the diff (current live CL vs candidate) for the Game Client & UEFN
4. Ensure we get sign off (Ben Temple, Joe Barrett or Lukasz currently)",CHECKLIST_VERSION Folder Comparison Sign Off :thread:,Hello @ben.temple @joe.barrett @lukasz,,
