,Item,Status,Due by,Completed by,Temp-Notes,Steps To Complete,"Suggested Slack Post Text 
(unless otherwise stated)","Suggested Slack Thread Text 
(unless otherwise stated)",Automation?,Additional Notes
,Pre-Candidate Build - MUST DO	,,,,,77,,,,
,By Hard Lock:	,IN PROGRESS,,,,,,,,
PROD,"Send Slack Review For Untriaged Pre-SH & QA High Risk JIRAs:

Keep this checklist item open until closer to CERT to continue to refresh and escalate issues added",TODO,Thu Jul 17,,"Slack: LINK

Last Update: 
- MONTH_DAY","1. Go to the following FILTER and set the affectedVersion=CHECKLIST_VERSION
3. Spin up a thread in the #fn-release-CHECKLIST-VERSION-ext slack channel using the suggested text in column H/I --> 
   a. Tag in the Tech component owner (currently Chris Tran / Jay Chaney) and the seasonal prod owner (row 1)
   b. Tag in Component owners for each JIRA in the filter
   c. Copy the links to the 2 filters and link them over their associated blue text

Example: LINK

Steps for how to easily add jiras into message in this cells note
(This task would certainly benefit from an already existing workato recipe... someone just needs to set it up)",CHECKLIST_VERSION Untriaged Pre-SH & QA High Risk Review :thread:,"Hi @PROD_OWNER & @Chris Tran
If y'all have time in the next couple days, RM would appreciate your review of various Untriaged QA High Risk & Pre-SH JIRAs affecting CHECKLIST_VERSION. 

Please ensure these JIRAs have an appropriate Priority, Fix Version & Assignee set so they do not fall through the cracks.

The goal of this ask is to make sure these crashes get visibility and review now, instead of potentially in a post-release shit happens. 

We will be doing a sweep of this dashboard periodically leading up to CERT. 

:ty: in Advance!

PreShitHappens and QAHighRisk
XXX",Yes,Workato - Component Lookup
PROD,"Send Slack Review For Pre-SH & QA High Risk that are assigned to the current release:

Keep this checklist item open until closer to CERT to continue to refresh and escalate issues added",TODO,Thu Jul 17,,"Slack: LINK

Last Update: 
- MONTH_DAY","1. Go to the following FILTER and set the FixVersion = CHECKLIST_VERSION
2. Update the thread that you created above with this filter and ask the seasonal/tech owners to review the current filter and get a pulse check on where we stand with Issues that we plan to fix in this release

Example: LINK",,,Yes,Workato - Component Lookup
PROD,Release Content Legal Approval has Started,TODO,Tue Jul 15,,"Leave this task as In Progress until we have the final sign-off on all items in the sheet

Slack: LINK","1. Navigate to the #fn-legal-publishing-approvals-ext slack channel
2. Look for thread containing Ready For Review
   a. Currently by Ben Massoglia (Adam Baxter if Ben is OOO)
3. If thread is not present, send a DM to Ben Massoglia/Chris Oneil asking when that will happen",,,,
PROD,Make sure Disallow List has Started (Data Encryption),TODO,Sat Jul 19,,"Leave this task as In Progress until we have confirmation that all items from the encryption pass have been properly encrypted or SHs have been spun up to account for leaks

Slack: LINK","1. Navigate to the #fn-encryptedassets-ext slack channel 
2. Look for the thread containing Datamine Results
   a. Currently by Ben Massoglia (Adam Baxter if Ben is OOO)
3. If thread is not present, send a DM to Ben Massoglia asking when that will happen
4. Reminder to confirm that All FN, FNE (Creative+UEFN), JUNO, DelMar, Sparks terms are being checked",,,,
,By Pencils Down:	,IN PROGRESS,,,,,,,,
PROD,"Send Slack Review For Untriaged Pre-SH & QA High Risk JIRAs:

Keep this checklist item open until closer to CERT to continue to refresh and escalate issues added",TODO,Sat Jul 12,,"Slack: LINK

Last Update: 
- MONTH_DAY","1. Go to the following FILTER and set the affectedVersion=CHECKLIST_VERSION
3. Spin up a thread in the #fn-release-CHECKLIST-VERSION-ext slack channel using the suggested text in column H/I --> 
   a. Tag in the Tech component owner (currently Chris Tran / Jay Chaney) and the seasonal prod owner (row 1)
   b. Tag in Component owners for each JIRA in the filter
   c. Copy the links to the 2 filters and link them over their associated blue text

Example: LINK

Steps for how to easily add jiras into message in this cells note
(This task would certainly benefit from an already existing workato recipe... someone just needs to set it up)",CHECKLIST_VERSION Untriaged Pre-SH & QA High Risk Review :thread:,"Hi @PROD_OWNER & @Chris Tran
If y'all have time in the next couple days, RM would appreciate your review of various Untriaged QA High Risk & Pre-SH JIRAs affecting CHECKLIST_VERSION. 

Please ensure these JIRAs have an appropriate Priority, Fix Version & Assignee set so they do not fall through the cracks.

The goal of this ask is to make sure these crashes get visibility and review now, instead of potentially in a post-release shit happens. 

We will be doing a sweep of this dashboard periodically leading up to CERT. 

:ty: in Advance!

PreShitHappens and QAHighRisk
XXX",Yes,Workato - Component Lookup
PROD,"Send Slack Review For Untriaged Escaped Crashes / Asserts / Ensures JIRAs:

Keep this checklist item open until closer to CERT to continue to refresh and escalate issues added",TODO,Sat Jul 12,,"Slack: LINK



Keep this checklist item open until closer to CERT to continue to refresh and escalate issues added","1. Go to the following FILTER and set the affectedVersion=CHECKLIST_VERSION
3. Spin up a thread in the #fn-release-CHECKLIST-VERSION-ext slack channel using the suggested text in column H/I --> 
   a. Tag in the Tech component owner (currently Chris Tran / Jay Chaney) and the seasonal prod owner (row 1)
   b. Tag in Component owners for each JIRA in the filter
   c. Copy the links to the 2 filters and link them over their associated blue text

Example: LINK

Steps for how to easily add jiras into message in this cells note
(This task would certainly benefit from an already existing workato recipe... someone just needs to set it up)",CHECKLIST_VERSION Untriaged Escaped Crashes / Asserts / Ensures Review :thread:,"Hi @PROD_OWNER & @Chris Tran
If y'all have time in the next couple days, RM would appreciate your review of various Untriaged Escaped Crash / Assert / Ensure JIRAs affecting CHECKLIST_VERSION. 

Please ensure these JIRAs have an appropriate Priority, Fix Version & Assignee set so they do not fall through the cracks.

The goal of this ask is to make sure these crashes get visibility and review now, instead of potentially in a post-release shit happens. 

We will be doing a sweep of this dashboard periodically leading up to CERT. 

:ty: in Advance!

Escaped Crashes / Asserts / Ensures
XXX",Yes,Workato - Component Lookup
PROD,"Release Content Legal Approval (FN and UEFN content)
   Cosmetic Content Assets Sheet",TODO,Thu Jul 17,,Slack: LINK,,"Hi @Ben Massoglia, just checking in for CHECKLIST_VERSION readiness. 
Have we confirmed we are all wrapped up and ready to go on the Legal/Publishing front? If not, what is still left to do?
:ty: in advance! ",,,
